slang;formal
ampuunn;ampun
pengen;pengin
ciuuuummmm;cium
mbil;sambil
ngmng;mengomong
ngemeng;mengomong
epe;apa
seehh;sih
yank;sayang
ucul;lucu
yahh;ya
kek;kayak
saya;saya 
lucuu;lucu
ngakak;mengakak
astagfirrullah;astagfirullah
bkn;bukan
tpi;tapi
suerrr;suer
gk;tidak
mnta;minta
lg;sedang
syg;sayang
ntik;cantik
pny;punya
dapet;dapat
kek;kayak
gini;begini
suru;suruh
lucuuuu;lucu
ketawakkkk;ketawa
kyanya;kayanya
bnget;banget
nakutin;menakutkan
malingg;maling
cocokk;cocok
niihh;nih
imutttttt;imut
satuuuuu;satu
sesekk;sesak
nafass;nafas
bgtt;banget
cintaaaaaaa;cinta
lucuk;lucu
lucuk;lucu
ma;sama
duluu;dulu
megang;memegang
ngakak;mengakak
kawinin;mengawini
liatin;memperlihatkan
ny;nya
d;di
bdan;badan
nyaaa;nya
gemesin;menggemaskan
daah;dah
fotoin;memfoto
ngaku;mengaku
kaaa;kak
ganteng2;ganteng-ganteng
pcarny;pacarnya
kri;kiri
knpa;kenapa
pda;pada
cmn;cuman
gara2;gara-gara
garuk2;garuk-garuk
tembokk;tembok
namax;namanya
kiriii;kiri
kyk;kayak
bungkusin;bungkuskan
atu;satu
dehhhh;deh
dongg;dong
kakk;kak
ngegantiin;menggantikan
alloh;allah
smpe;sampai
msh;masih
trsa;terasa
khadirannya;kehadirannya
fikiran;pikiran
hayalanku;khayalanku
bru;baru
nton;menonton
jdi;jadi
ngapain;mengapa
yaa;ya
surgaa;surga
kangenn;kangen
kgn;kangen
kakkkkk;kak
rinduuuuuuuuu;rindu
ninggalin;meninggalkan
smg;semoga
terangkhn;terangkan
bgtttt;banget
knp;kenapa
tuk;untuk
slama;selama
orng;orang
bngunlah;bangunlah
k;kak
bngun;bangun
ea;ya
qu;ku
hiri;hari
klo;kalau
"teman""ny";teman-temannya
gtu;begitu
aza;saja
dr;dari
"teman""ny";teman-temannya
ny;nya
alm;almarhum
skrg;sekarang
knpa;kenapa
sie;sih
benet;benar
bangetttt;banget
tuu;tuh
skrang;sekarang
gda;tidak ada
trus;kemudian
gantiin;menggantikan
sma;sama
jdi;jadi
gak;tidak
kta;kata
kklau;kalau
d;di
acra;acara
gk;tidak
sma;sama
kasian;kasihan
bangett;banget
yaaa ;ya
bnerr;benar
emk;emak
temenn;teman
pngenn;pengin
terkenall;terkenal
ajhh;saja
gk;tidak
sungguh2;sungguh-sungguh
mnjadi;menjadi
shbt;sahabat
k;kak
bner;benar
bgt;banget
ktny;katanya
shbt;sahabat
skrg;sekarang
pda;pada
dimusiumin;dimuseumkan
ga;tidak
bntu;bantu
pda;pada
dlu;dulu
klo;kalau
gda;tidak ada
pda;pada
udh;sudah
pda;pada
kangem;kangen
amiiin;amin
smua;semua
slmt;selamat
jln;jalan
"mudh""an";mudah-mudahan
tenny;tenang
d;di
sdh;sudah
yg;yang
tnya;tanya
blm;belum
td;tadi
sblm;sebelum
yah;ya
bole;boleh
lahhh;lah
tp;tapi
blm;belum
dapet;dapat
maap;maaf
gk;tidak
cm;cuma
syg;sayang
kmrn;kemarin
wkt;waktu
d;di
ama;sama
ak;aku
lht;lihat
biasa2;biasa-biasa
mnrtkuu;menurutku
trs;kemudian
ikutin;mengikuti
jdwl;jadwal
yaaa;ya
jgn;jangan
wajiiib;wajib
aaaammmiiiinnnn;amin
dtnggu;ditunggu
yah;ya
jan;jangan
kunjungin;kunjungi
sedangiii;sedang
waktunyaaa;waktunya
diluangin;diluangkan
yaa;ya
makasih;terima kasih
jga;juga
mimin;admin
istimewaaa;istimewa
blom;belum
sempet;sempat
nangis;menangis
karna;karena
"ngaku""";mengaku-ngaku
diaa;dia
donkk;dong
gak;tidak
kejawab;terjawab
yaaaa;ya
seru2an;seru-seruan
mohom;mohon
kebalas;terbalas
yaaa;ya
ikutin;ikuti
nyempetin;menyempatkan
wktunya;waktunya
kaaaa;kak
nyempetin;menyempatkan
ngobrol;mengobrol
bangett;banget
namain;menamai
bls;balas
ijap;ijab
kobul;kabul
dgn;dengan
co;cowok
pst;pasti
inggat;ingat
brdua;berdua
masing2;masih
sdh;sudah
pny;punya
brdua;berdua
sanggat;sangat
siipp;sip
laa;lah
dlm;dalam
hdup;hidup
hdp;hidup
trus;kemudian
kedpan;kedepan
smoga;semoga
mndaptkan;mendapatkan
yng;yang
"nutup""in";menutup-nutupi
liatin;perlihatkan
iyah;iya
sja;saja
kakkk;kak
za;saja
mulut2;mulut-mulut
peengn;pengin
tuch;tuh
muantteepp;mantap
cpt;cepat
mrit;merit
y;ya
ngapasih;mengapa sih
ni;ini
segitunya;sebegitunya
fto;foto
pke;pakai
males;malas
sisain;menyisakan
slamt;selamat
nantiii;nanti
edaaan;edan
emg;memang
bener2;benar-benar
tunggu2;tunggu-tunggu
sehat2;sehat-sehat
ciyeeeeeee;cie
pantes;pantas
lairannya;kelahirannya
jmnya;jamnya
ajha;saja
ama;sama
nyaaaa;nya
nyari;mencari
amiien;amien
smoga;semoga
terbaikkk;terbaik
ayahh;ayah
ntar;entar
ae;saja
ndak;indak
ngerti;mengerti
mrekaaaa;mereka
yaampuuuunnnn;ya ampun
yha;ya
nyanyiin;menyanyikan
ahhh;ah
bnget;banget
pgen;pengin
hdk;hendak
tempt;tempat
ny;nya
kh;kah
hdk;hendak
bgini;begini
aq;aku
brani;berani
gak;tidak
km;kamu
aq;aku
jalan2;jalan-jalan
yaaa;ya
asyikkkkk;asyik
iriiiii;iri
ngajak;mengajak
yakk;ya
naaaaahh;nah
kka;kakak
jgn;jangan
yak;ya
ttep;tetap
sperti;seperti
jrang;jarang
msuk;masuk
gossip2.an;gosip-gosipan
makkk;mak
ngapain;mengapai
gue;saya
pengennn;pengin
ntar;entar
yeee;ya
klo;kalau
udh;sudah
gilzz;gila
nyaru;menyaru
aja;saja
kk;kakak
gilaaa;gila
jd;jadi
kebarat2an;kebarat-baratan
ohh;oh
mantabs;mantab
jgan;jangan
mlu;malu
payahh;payah
ntaf;mantap
beneran;benaran
"mudah""n";mudah-mudahan
trus;kemudian
gada;tidak ada
yg;yang
gada;tidak ada
yg;yang
milikin;memiliki
kamo;kamu
inih;ini
tuhh;tuh
suru;suruh
syantik;cantik
sukaaaa;suka
sukaaaaaa;suka
kirain;mengira
mehoonggggg;mahal
apikkkk;apik
yach;ya
kereenn;keren
ginii;begini
ayoook;ayo
yoiii;yoi
gituuu;begitu
iyaaa;iya
pgn;pengin
liptsk;lipstik
dr;dari
nyeplak;menjiplak
bgt;banget
kyk;kayak
cw;cewek
cw;cewek
kmarin;kemarin
mengncang;mengencang
tauu;tau
ksh;kasih
skrng;sekarang
mksh;terima kasih
gara2;gara-gara
ank;anak
skitar;sekitar
ktmu;ketemu
sma;sama
tmen;teman
skrg;sekarang
dlu;dulu
skrg;sekarang
ats;atas
donk;dong
heii;hai
yg;yang
diputusin;diputuskan
pcrnya;pacarnya
gara2;gara-gara
mnjual;menjual
ngadain;mengadakan
ga;tidak
nyangka;menyangka
kkak;kakak
rekomendasiin;merekomendasikan
sihhh;sih
cooocok;cocok
mrip;mirip
bgt;banget
sma;sama
mama.nyy;mamanya
wkt;waktu
lht;lihat
gak;tidak
bosenin;membosankan
kmu;kamu
bukn;bukan
sey;sih
yng;yang
cantikkk;cantik
banger;banget
kaa;kak
bngt;banget
eakyu;waktu
cntik;cantik
ama;sama
amiiin;amin
kakanya;kakaknya
doeloe;dulu
kk;kakak
cantikkkk;cantik
bngtt;banget
udh;sudah
iyak;iya
malh;malah
mlah;malah
kk;kakak
ngak;tidak
laki2;laki-laki
gag;tidak
fhotonya;fotonya
bleh;boleh
km;kamu
brp;berapa
tnggl;tanggal
brp;berapa
tanteny;tantenya
ky;kaya
qt;kita
dlu;dulu
sklinyaa;sekalinya
ayoo;ayo
km;kamu
bs;bisa
jd;jadi
kk;kakak
yah;ya
w;saya
dramaa;drama
niiih;nih
bisaa;bisa
lha;lah
dunk;dong
lihaat;lihat
yuwkkk;yuk
nnti;nanti
editannn;editan
mw;mau
thu;tuh
mai;mau
kamuu;kamu
pastii;pasti
bisaaa;bisa
kejuu;keju
kereen;keren
nama.a;namanya
kmauan;kemauan
ayoo;ayo
ahhhh;ah
yuuuuk;yuk
dmana;dimana
disiniii;disini
cobaa;coba
bayangin;bayangkan
yaudh;ya sudah
bayangin;bayangkan
dl;dulu
ajaaa;saja
tuhhh;tuh
amploppp;amplop
mo;mau
kek;kayak
gini;begini
yaaa;ya
sayangg'';sayang-sayang
nantii;nanti
aminnnn;amin
aminnnnn;amin
gakuat;tidak kuat
yukkkk;yuk
nged;banget
nantik;nanti
ksitu;kesitu
yng;yang
bangeett;banget
slalu;selalu
liad;lihat
kluarga;keluarga
biasahhh;biasa
bgt;banget
sma;sama
kluarga;keluarga
ama;sama
tutorialx;tutorialnya
pke;pakai
yg;yang
dpke;dipakai
kk;kakak
dpke;dipakai
donk;dong
yank;sayang
liat;lihat
fhoto;foto
kerenn;keren
binggo;banget
rekomndd;rekomendasi
donk;dong
dmn;dimana
pngn;pengin
bli2n;beli-belikan
bwt;buat
wado;waduh
guaa;saya
yaakkk;ya
bangetttttyt;banget
bangettttt;banget
bangg;bang
kangeeeeeeeeennnnnnnn;kangen
kaliannnnnn;kalian
rinduuuuuuuuuu;rindu
kangennnnnmnnnnnnnnnnnnnnnnn;kangen
kaliannnnnm;kalian
kangeeeeeeeeeeennnnn;kangen
kangennnnnnnnnnnnnnnn;kangen
kangennn;kangen
kaliannnnnnn;kalian
th2;tahun-tahun
smoga;semoga
dl;dulu
smpt;sempat
blg;bilang
trserah;terserah
ad;ada
yg;yang
d;di
cwo;cowok
trus;kemudian
prnah;pernah
blg;bilang
lg;sedang
wlwpun;walaupun
trpsah;terpisah
klw;kalau
mmg;memang
alloh;allah
prsatukn;persatukan
mmg;memang
sdh;sudah
klw;kalau
g;tidak
slh;salah
ngomng;mengomong
mdh2an;mudah-mudahan
sm;sama
skedar;sekadar
sperti;seperti
kangennn;kangen
kangeeerrn;kangen
pulak;pula
tpi;tapi
terrrrbaik;terbaik
jorookknya;joroknya
ihhhhh;ih
cobaa;coba
padahall;padahal
jorokkkk;jorok
mualll;mual
klow;kalau
muke;muka
yg;yang
bner;benar
ajh;saja
taiiii;tahi
seneeeeeng;senang
yaa;ya
ga;tidak
nyesel;menyesal
besarin;membesarkan
mksh;terima kasih
tanyang;tayang
ber2;berdua
jngan;jangan
trus;kemudian
ngelarang;melarang
kerreeen;keren
udh;sudah
pantess;pantas
bngettt;banget
sampe;sampai
baperr;bawa perasaan
sudh;sudah
ga;tidak
sbr;sabar
pngen;pengin
nntn;menonton
ht;hati
pemainy;pemainnya
aq;aku
jga;juga
bnget;banget
ama;sama
aq;aku
jg;juga
aqu;aku
ngeliat;melihat
sampe;sampai
baper;bawa perasaan
smoga;semoga
gk;tidak
akn;akan
bnget;banget
nyampe;sampai
kbawa;terbawa
bradegan;beradegan
sm;sama
baper;bawa perasaan
bnget;banget
smga;semoga
amiiinnnn;amin
mlm;malam
nikahin;menikahi
hadeuh;aduh
bener2;benar-benar
nyambung;menyambung
aq;aku
liyat;lihat
krn;karena
sk;suka
bgt;banget
sm;sama
kluarga;keluarga
adengan;adegan
yaaa;ya
adengan;adegan
engga;tidak
bngtt;banget
bingit;banget
dapetin;mendapati
krn;karena
model2;model-model
sitayngin;ditayangkan
cocokkk;cocok
bgt;banget
mahhhh;mah
bangett;banget
cocokny;cocoknya
smoga;semoga
kaka;kakak
iniw;ini
sma;sama
jga;juga
q;ku
setju;setuju
bngt;banget
sma;sama
bnern;benaran
pcrn;pacaran
klian;kalian
cocokkkk;cocok
bngett;banget
abes;habis
pngen;pengin
kyk;kayak
gtu;begitu
ntar;entar
kek;kayak
gini;begini
br;baru
mksdny;maksudnya
tu;itu
knp;kenapa
kmu;kamu
brpa;berapa
tu;itu
ihh;ih
bgt;banget
sma;sama
aamiin;amin
dlu;dulu
kesampean;kesampaian
beginiiii;begini
ntr;entar
ak;aku
beliin;membelikan
kya;kaya
gini;begini
keq;kek
ngeliat;melihat
ngerasa;merasa
km;kamu
sygkuu;sayangku
lucuuuu;lucu
ngeselin;mengesalkan
bkin;bikin
masi;masih
baju'a;bajunya
fto;foto
gtu;begitu
jg;juga
bgt;banget
gara'';gara-gara
kemudians;kemudian
pokok'a;pokoknya
bg;bang
ubur2;ubur-ubur
kuyy;yuk
bentarr;bentar
kuyy;yuk
klw;kalau
dureen;duren
ajibb;ajib
mahall;mahal
yukk;yuk
niiihh;nih
ubur2;ubur-ubur
donk;dong
imuuttt;imut
imuttzz;imut
nha;nya
asliii;asli
konten2;konten-konten
rasain;rasai
daaaah;deh
asliiii;asli
cantiknnnnyaaaaaaa;cantiknya
yuuk;yuk
ngelihatnya;melihatnya
aqu;aku
bdn;badan
na;nya
ibu2;ibu-ibu
bgt;banget
lau;kau
yaaa;ya
cantikkk;cantik
kakkk;kak
cantikk;cantik
sexxi;seksi
bgt;banget
bulet;bulat
ituu;itu
ngocok;mengocok
ni;ini
yg;yang
mw;mau
nyoba;mencoba
ikutin;mengikuti
gn;begini
yaahhh;ya
kencqng;kencang
ak;aku
kra;kira
kra;kira
msh;masih
diginikan;dibeginikan
"coret""";coret-coret
lahh;lah
saya;saya 
gambarin;gambarkan
ntr;entar
klo;kalau
saya;saya
qt;kita
ky;kaya
gini;begini
y;ya
bener2;benar-benar
ngerii;ngeri
digambarin;digambarkan
klen;kalian
kek;kayak
bangke;bangkai
tp;tapi
saya;saya
kog;kok
jd;jadi
yha;ya
liatnya;lihatnya
bedanyaaa;bedanya
sm;sama
negri;negeri
mbk;mbak
pgin;pengin
fto;foto
krudungan;kerudungan
kakk;kak
ajaa;saja
maksutku;maksudku
kerennnnn;keren
njirr;anjir
ngerasa;merasa
bgt;banget
jd'y;jadinya
tp;tapi
manisnyaaaa;manisnya
thun;tahun
brp;berapa
bgt;banget
mbg;mbak
cantikk;cantik
bangeet;banget
sm;sama
km;kamu
jgn;jangan
ngaco;mengaco
ngomen;mengomentari
msh;masih
kaaakk;kak
gituh;begitu
tenggah;tengah
lucuuuu;lucu
yaa;ya
tpi;tapi
akuuu;aku
uuuuuaaaaaaaaaappppppppppiiiiiiiiiiiiiiiiiikkkkkkkkkkkkkkkk;apik
kocakkkkkkkkkkkkkk;kocak
ksukaanmuuu;kesukaanmu
bagiii;bagi
ayooo;ayo
nontonx;menontonnya
yach;ya
dpn;depan
pi;tapi
tu;itu
penasarannnn;penasaran
gilakkkkkk;gila
mauuu;mau
nontoonnn;menonton
cepet2;cepat-cepat
kepingin;pengin
nontonnnn;menonton
deeek;dek
ntappp;mantap
deg2an;deg-degan
liatnya;lihatnya
cyiiin;cinta
iyha;iya
kureeeen;keren
muantaap;mantap
nontonx;menontonnya
ga;tidak
pake;pakai
ngantri;mengantri
bli;beli
org;orang
nraktir;mentraktir
nonton;menonton
sbnyak;sebanyak
penasaraaann;penasaran
ga;tidak
kyk;kayak
ayoooo;ayo
nii;ini
nontonya;menontonnya
k;ke
kl;kalau
nunggu;menunggu
dpt;dapat
qta;kita
saya;saya
peen;pengin
lw;lu
gga;tidak
nunggu;menunggu
yaah;ya
asikkk;asik
gilak;gila
mcm;macam
ceritax;ceritanya
yoooiii;yoi
daah;deh
kuy;yuk
udahh;sudah
tauuuuu;tau
ngga;tidak
sabarrrrr;sabar
kqmu;kamu
banggain;banggakan
ngadain;mengadakan
ngak;tidak
ngadain;mengadakan
thn;tahun
knp;kenapa
pengan;pengin
ngadain;mengadakan
gk;tidak
sendeng;senang
simpen;simpan
gakk;tidak
bagiin;bagikan
nangis;menangis
nanggepin;menanggapi
pingin;pengin
gk;tidak
sma;sama
kapn;kapan
barang2;barang-barang
sma;sama
kirimin;mengirimi
tpi;tapi
gk;tidak
senengin;senangi
ngasih;mengasih
asikkk;asik
udh;sudah
ama;sama
ampunnnn;ampun
bln;bulan
senengg;senang
teruzzz;kemudian
gtu;begitu
mantabb;mantab
sumpahh;sumpah
yaa;ya
smua;semua
diluarann;diluaran
trbaik;terbaik
dlam;dalam
smua;semua
anjirrrr;anjir
jendess;janda
dh;deh
sichh;sih
jgn;jangan
pgn;pengin
namnya;namanya
kaka;kakak
gk;tidak
ninggalin;meninggalkan
orng;orang
geh;gih
ma;sama
nggak;tidak
sma;sama
kk;kakak
ber2;berdua
22nya;dua-duanya
aduuhhh;aduh
miripp;mirip
silauuu;silau
waww;wow
kerenn;keren
uga;juga
njiirr;anjir
bgs;bagus
bgt;banget
kesinii;kesini
gemay;gemas
dstu;disitu
tmpt;tempat
wiiiihhhh;wih
samoga;semoga
aamiin;amin
kereennn;keren
cobaa;coba
tuhh;tuh
wahh;wah
gk;tidak
nyangkaa;menyangka
hasilnyaaa;hasilnya
bangetttt;banget
dahhhh;dah
cmn;cuman
mudah2;mudah-mudah
bisaa;bisa
jugaakk;juga
prnh;pernah
diapa2in;diapa-apai
yaak;ya
lhoo;loh
mnta;minta
donx;dong
kyk;kayak
gthu;begitu
nda;indak
maauuu;mau
pacarrr;pacar
idamann;idaman
naturalllll;natural
bnyak;banyak
berntung;beruntung
merka;mereka
jln2;jalan-jalan
romntis;romantis
slamat;selamat
ulan;ulang
th;tahun
mngkin;mungkin
klau;kalau
diksi;dikasih
bgini;begini
sipp;sip
masi;masih
taun;tahun
jugak;juga
nungguin;menunggu
ngeluarin;mengeluarkan
ughaa;juga
"tante""";tante-tante
thn;tahun
ngerasa;merasa
saya;saya
banged;banget
abeees;habis
kapan2;kapan-kapan
adain;mengadakan
bsa;bisa
gk;tidak
bosen2;bosan-bosan
sempurnaaaaa;sempurna
kaan;kan
kece2;kece-kece
badaaiii;badai
beneraan;benaran
cantiiik;cantik
bgtt;banget
kuatttt;kuat
cantiiiiiiik;cantik
cantiknyaaa;cantiknya
pgn;pengin
bae2;baik-baik
lg;sedang
cantikkk;cantik
bgd;banget
mb;mbak
catiiiiik;cantik
bangeet;banget
subahanallah;subhanallah
cantikkk;cantik
bgt;banget
jaman2nya;jaman-jamannya
dapetin;mendapati
padet;padat
ga;tidak
buktiin;buktikan
km;kamu
yg;yang
cantiq;cantik
ak;aku
km;kamu
smua;semua
"pasien""nya";pasien-pasiennya
ngantri;mengantri
lohh;loh
bgt;banget
mngkin;mungkin
utk;untuk
ngasih;mengasih
keeeerrrreeeennnnnnnnn;keren
woow;wow
choker2;choker-choker
skarang;sekarang
skrang;sekarang
kaka;kakak
lohh;loh
gara2;gara-gara
buktiin;membuktikan
bangettttt;banget
hadirrr;hadir
hadirr;hadir
jelashh;jelas
sekali2;sekali-kali
mbaaa;mbak
temen;teman
kerenn;keren
hadirrr;hadir
ngomong;mengomong
hidupppp;hidup
nyebelin;menyebalkan
tp;tapi
diliatnya;dilihatnya
ga;tidak
abis2;habis-habis
gpp;tidak apa-apa
para2;parah-parah
bangeeet;banget
allahhhhhhh;allah
gemesnya;gemasnya
ilang2;hilang-hilang
mslh;masalah
kmi;kami
ngilangin;menghilangkan
tbuh;tubuh
itungan;hitungan
keliatan;kelihatan
ledekin;ledeki
tmn2;teman-teman
diputusin;diputuskan
gara2;gara-gara
km;kamu
gara2;gara-gara
repot2;repot-repot
oles2;oles-oles
ckup;cukup
dptkan;dapatkan
artis2;artis-artis
bener2;benar-benar
nyesel;menyesal
ayooo;ayo
saranin;menyarankan
kalii;kali
ajaa;saja
ninggiin;meninggikan
ledekin;ledeki
tmn2;teman-teman
baget;banget
dri;dari
bngt;banget
kl;kalau
lht;lihat
mnta;minta
kira2;kira-kira
lgsg;langsung
mngkin;mungkin
ngk;tidak
ahh;ah
pas2an;pas-pasan
balesin;membalas
gausah;tidak usah
kyk;kayak
sukaaa;suka
lutuna;lucunya
ciapa;siapa
gemesss;gemas
duhh;duh
terharuuu;terharu
ihh;ih
sumpahh;sumpah
alamii;alami
sampek;sampai
ckrng;sekarang
ngegemesin;menggemaskan
imoet;imut
bgt;banget
imut2;imut-imut
gtu;begitu
jagain;jaga
yahbh;ya
msih;masih
macem2;macam-macam
neko2;neko-neko
ngeliat;melihat
sktika;seketika
dr;dari
td;tadi
lutu;lucu
yg;yang
yaa;ya
yha;ya
wowwww;wow
massss;mas
kesiniii;kesini
bnget;banget
"keren""";keren-keren
"jalan""nya";jalan-jalannya
masyaallahhh;masyaallah
kerennn;keren
ksni;kesini
begok;bego
bkan;bukan
jgk;juga
gda;tidak ada
tmpt;tempat
mksd;maksud
aqu;aku
bawak;bawa
jdi;jadi
it;itu
bkan;bukan
nti;nanti
pgi;pagi
yahh;ya
keeeeeren;keren
bnget;banget
baguusss;bagus
mna;mana
liat;lihat
lg;sedang
bnget;banget
nahannnn;tahan
lucuu;lucu
bagaatt;banget
gayannxa;gayanya
kereeeen;keren
uda;sudah
ngekeh;kekeh
bg;bang
xlian;kalian
b3;bertiga
bnget;banget
lg;sedang
ihhh;ih
nyebelin;menyebalkan
bnget;banget
lcu;lucu
pait;pahit
pait;pahit
pait;pahit
koplakkk;koplak
kerass;keras
yachhh;ya
gokil;gila
bgt;banget
kmu;kamu
yg;yang
ngelihat;melihat
pngn;pengin
ngelawak;melawak
iiihhhhh;ih
gokil;gila
nyolotinnnn;menyolot
beratttttttt;berat
lucuu;lucu
cantiikkkk;cantik
kaa;kak
hijaabbb;hijab
sekalii;sekali
smnagatin;menyemangati
kk;kakak
pakek;pakai
kanapa;kenapa
ngk;tidak
pakek;pakai
cans;cantik
pke;pakai
aja;saja
subahanallah;subhanallah
banhet;banget
ahhhh;ah
bgttttttt;banget
mcm;macam
blng;bilang
jgn;jangan
mngasi;mengasih
kmbang;kembang
pg;pagi
tp;tapi
pulak;pula
nie;ini
nda;indak
pla;pula
kh;kah
tpi;tapi
cm;cuma
kw;kau
mcm;macam
kw;kau
pla;pula
yg;yang
blakon;berlakon
sy;saya
nmpk;nampak
sma;sama
lucuu;lucu
lcu;lucu
bngtzt;banget
lucukkkkk;lucu
inget;ingat
sbelah;sebelah
baek;baik
ciusss;serius
palinf;paling
fav;favorit
ndak;indak
maak;mak
ngakaaaakkk;mengakak
yank;sayang
bangett;banget
gokill;gila
kocakkkkkk;kocak
ngekek;mengekek
jgn;jangan
skrg;sekarang
udah;sudah
gak;tidak
capee;cape
pegangin;memegang
nyender;menyandar
bener;benar
manjain;memanjakan
bgt;banget
peleotin;meleot
bng;bang
ko;kok
gda;tidak ada
yahh;ya
termurahhhh;termurah
pengen;pengin
nyatakan;menyatakan
graaatiiiis;gratis
nyatakan;menyatakan
meriahh;meriah
cantikkkm;cantik
bangett;banget
parahh;parah
yuuk;yuk
mantabs;mantab
bingits;banget
yuppss;ya
nyindir;menyindir
bgt;banget
onoh;sono
bnyk;banyak
anakny;anaknya
staf2nya;staf-stafnya
gara2;gara-gara
ajaa;saja
ngilangin;menghilangkan
begete;banget
nyindir;menyindir
bgt;banget
aduhh;aduh
yg;yang
manteppp;mantap
hati2;hati-hati
jangan2;jangan-jangan
anakny;anaknya
kata2nya;kata-katanya
ynk;sayang
"nangis""";menangis-nangis
"hati""";hati-hati
"jangan""";jangan-jangan
emank;memang
klo;kalau
jagain;menjaga
dgn;dengan
cr;cara
emank;memang
diemin;diamkan
cm;cuma
aja;saja
trs;kemudian
uda;sudah
hancurin;menghancurkan
ga;tidak
ckp;cukup
cm;cuma
klo;kalau
mgkn;mungkin
ato;atau
diapain;diapakan
gtu;begitu
bgs;bagus
ms;masih
bs;bisa
krn;karena
mgkn;mungkin
haragain;menghargai
cb;coba
klo;kalau
g;tidak
uda;sudah
g;tidak
nyakitin;menyakiti
ht;hati
saya;saya
jgn2;jangan-jangan
org;orang
lg;sedang
kyk;kayak
sbaiknya;sebaiknya
mngerti;mengerti
blajar;belajar
dlu;dulu
dr;dari
fakta2;fakta-fakta
yg;yang
slama;selama
spt;seperti
udh;sudah
ckup;cukup
kyk;kayak
msh;masih
mnding;mending
cm;cuma
klo;kalau
saya;saya
lgsg;langsung
saya;saya
nilai2;nilai-nilai
lg;sedang
buka2;buka-buka
nyinyirin;nyinyir
pdhl;padahal
pd;pada
nyerang;menyerang
hrs;harus
mrk;mereka
trima;terima
mrk;mereka
hrs;harus
bs;bisa
ksh;kasih
ngomomg;mengomong
mang;memang
udh;sudah
klo;kalau
kbetulan;kebetulan
orgtuanya;orang tuanya
lg;sedang
sbelum;sebelum
ngamatin;mengamati
ngintip;mengintip
stelah;setelah
sm;sama
orng;orang
sndiri;sendiri
yg;yang
ksh;kasih
ngintilin;mengintil
trus;kemudian
smnjak;semenjak
trbukti;terbukti
nyambet;menyambat
msk;masuk
krmh;ke rumah
aja;saja
sm;sama
pdhl;padahal
rmh;rumah
gk;tidak
cm;cuma
yg;yang
skrg;sekarang
bo'ong;bohong
dri;dari
dlu;dulu
lg;sedang
klo;kalau
bkn;bukan
eloo;lo
apa2nya;apa-apanya
bodohkk;bodoh
sesatt;sesat
ibliss;iblis
elo;lo
utk;untuk
smua;semua
hrs;harus
kbiasaan;kebiasaan
hdpnya;hidupnya
lbh;lebih
gk;tidak
byk;banyak
ngomong;mengomong
pake;pakai
pny;punya
anknya;anaknya
rmh;rumah
